 == BEGINING OF EXECUTION == 



Endereço virtual: 46195 | Endereço físico: 23155 | Conteúdo: 28
Endereço virtual: 55849 | Endereço físico:  1833 | Conteúdo: 0
Endereço virtual: 46454 | Endereço físico: 23926 | Conteúdo: 45
Endereço virtual:  7487 | Endereço físico: 12863 | Conteúdo: 79
Endereço virtual: 33879 | Endereço físico: 10583 | Conteúdo: 21
Endereço virtual: 42004 | Endereço físico: 16148 | Conteúdo: 0
Endereço virtual:  8599 | Endereço físico: 24215 | Conteúdo: 101
Endereço virtual: 18641 | Endereço físico: 24529 | Conteúdo: 0
Endereço virtual: 49015 | Endereço físico: 24695 | Conteúdo: 221
Endereço virtual: 26830 | Endereço físico: 11726 | Conteúdo: 26
Endereço virtual: 34754 | Endereço físico: 25026 | Conteúdo: 33
Endereço virtual: 14668 | Endereço físico:   588 | Conteúdo: 0
Endereço virtual: 38362 | Endereço físico: 25306 | Conteúdo: 37
Endereço virtual: 38791 | Endereço físico: 17287 | Conteúdo: 225
Endereço virtual:  4171 | Endereço físico: 25419 | Conteúdo: 18
Endereço virtual: 45975 | Endereço físico: 25751 | Conteúdo: 229
Endereço virtual: 14623 | Endereço físico:   543 | Conteúdo: 71
Endereço virtual: 62393 | Endereço físico: 26041 | Conteúdo: 0
Endereço virtual: 64658 | Endereço físico: 26258 | Conteúdo: 63
Endereço virtual: 10963 | Endereço físico: 26579 | Conteúdo: 180
Endereço virtual:  9058 | Endereço físico: 20834 | Conteúdo: 8
Endereço virtual: 51031 | Endereço físico: 11863 | Conteúdo: 213
Endereço virtual: 32425 | Endereço físico: 20649 | Conteúdo: 0
Endereço virtual: 45483 | Endereço físico: 16043 | Conteúdo: 106
Endereço virtual: 44611 | Endereço físico: 26691 | Conteúdo: 144
Endereço virtual: 63664 | Endereço físico: 28336 | Conteúdo: 0
Endereço virtual: 54920 | Endereço físico: 27016 | Conteúdo: 0
Endereço virtual:  7663 | Endereço físico: 13039 | Conteúdo: 123
Endereço virtual: 56480 | Endereço físico: 27296 | Conteúdo: 0
Endereço virtual:  1489 | Endereço físico: 27601 | Conteúdo: 0
Endereço virtual: 28438 | Endereço físico: 27926 | Conteúdo: 27
Endereço virtual: 65449 | Endereço físico: 30633 | Conteúdo: 0
Endereço virtual: 12441 | Endereço físico: 15001 | Conteúdo: 0
Endereço virtual: 58530 | Endereço físico: 27810 | Conteúdo: 57
Endereço virtual: 63570 | Endereço físico: 28242 | Conteúdo: 62
Endereço virtual: 26251 | Endereço físico: 22155 | Conteúdo: 162
Endereço virtual: 15972 | Endereço físico: 28004 | Conteúdo: 0
Endereço virtual: 35826 | Endereço físico: 13298 | Conteúdo: 34
Endereço virtual:  5491 | Endereço físico: 28275 | Conteúdo: 92
Endereço virtual: 54253 | Endereço físico: 28653 | Conteúdo: 0
Endereço virtual: 49655 | Endereço físico: 15351 | Conteúdo: 125
Endereço virtual:  5868 | Endereço físico: 28908 | Conteúdo: 0
Endereço virtual: 20163 | Endereço físico:  8899 | Conteúdo: 176
Endereço virtual: 51079 | Endereço físico: 11911 | Conteúdo: 225
Endereço virtual: 21398 | Endereço físico: 29078 | Conteúdo: 20
